Reporte de Inventario,,,,,,,,,,
Departamento:,,PINK UP,,,,,Grupo:,TODOS,,
Categoría:,,TODAS,,,,,Sucursal:,TODAS,,
Clave,,,Descripción,,Exist. Parcial,Existencia,,Precio C.,,Precio V.
7502295830988,,,FACE PRIMER PARA ROSTRO 30 ML PINK UP,,0.0000,15.0000,,$ 78.93,,$ 131.00
600100300121,,,LABIAL 21 MUD ULTIMATE PINK UP 9.5G,,0.0000,32.0000,,$ 54.50,,$ 92.00
600100300120,,,LABIAL 20 METAL ROSE ULTIMATE PINK UP 9.5G,,0.0000,0.0000,,$ 32.48,,$ 92.00
600100300119,,,LABIAL 19 BRONZE ULTIMATE PINK UP 9.5G,,0.0000,2.0000,,$ 32.48,,$ 92.00
600100300117,,,LABIAL 17 COPPER ULTIMATE PINK UP 9.5G,,0.0000,3.0000,,$ 32.48,,$ 92.00
6501000005,,,BRUSHES 01 FOUNDATION PINK UP,,0.0000,2.0000,,$ 60.55,,$ 105.00
6501000007,,,BRUSHES 03 BUFFER PINK UP,,0.0000,-2.0000,,$ 54.50,,$ 105.00
6501000009,,,BRUSHES 05 CONCEALER PINK UP,,0.0000,0.0000,,$ 17.66,,$ 35.00
6501000011,,,BRUSHES 07 EYEBROW AND EYE LINER PINK UP,,0.0000,0.0000,,$ 17.67,,$ 33.00
6501000012,,,BRUSHES 08 SMALL BLENDING PINK UP,,0.0000,1.0000,,$ 18.61,,$ 37.00
6501000013,,,BRUSHES 09 SLANTED EYE SHADOW PINK UP,,0.0000,1.0000,,$ 17.67,,$ 33.00
6501000015,,,BLUSH DUO 100 BASIC NUDE,,0.0000,1.0000,,$ 29.60,,$ 52.00
600199600002,,,SOMBRA CEJA BROW POWDER 002,,0.0000,1.0000,,$ 39.65,,$ 69.00
600199600001,,,SOMBRA CEJA BROW POWDER 001,,0.0000,0.0000,,$ 39.65,,$ 69.00
7502295831695,,,GLITTER COMPACTO P/ OJOS 01 SILVER,,0.0000,14.0000,,$ 35.70,,$ 60.00
7502295831701,,,GLITTER COMPACTO P/ OJOS 02 HOLOGRAM,,0.0000,17.0000,,$ 35.70,,$ 60.00
610199500903,,,GLITTER COMPACTO P/ OJOS 03 METAL,,0.0000,9.0000,,$ 19.54,,$ 60.00
7502295831725,,,GLITTER COMPACTO P/ OJOS 04 GOLD,,0.0000,16.0000,,$ 35.70,,$ 60.00
7502295831732,,,GLITTER COMPACTO P/ OJOS 05 BRONZE,,0.0000,13.0000,,$ 35.70,,$ 60.00
Página 2 de, 14,,,Generado por Nube SICAR,,,,,30/03/2026 2:42:31 PM,
Reporte de Inventario,,,,,,,,,,
